Designation,Resource Allocation,Mental Fatigue Score,Work Hours per Week,Sleep Hours,Work-Life Balance Score,Manager Support Score,Deadline Pressure Score,Team Size,Recognition Frequency,Gender_Male,Company Type_Service,WFH Setup Available_Yes
1.0,4,5.7,52.0,5.5,1.0,2.0,4.0,10,0.0,1.0,0.0,1.0
1.0,3,4.088571916692516,41.0,6.9,5.0,3.0,1.0,5,2.0,1.0,1.0,0.0
2.0,3,5.9,50.0,5.7,1.0,1.0,4.0,15,1.0,1.0,1.0,1.0
2.0,4,3.6,36.0,7.9,3.0,3.0,3.0,4,5.0,1.0,0.0,1.0
4.0,7,7.4,52.0,6.2,2.0,2.0,4.0,4,0.0,0.0,1.0,1.0
2.0,5,6.2,49.0,5.2,2.0,3.0,4.0,19,0.0,1.0,1.0,0.0
2.0,4,4.4,38.0,7.2,3.0,5.0,3.0,18,2.0,1.0,1.0,0.0
2.0,4,5.2,37.0,8.0,3.0,3.0,3.0,4,3.0,1.0,0.0,1.0
0.0,1,2.8,35.0,6.9,3.0,3.0,2.0,7,3.0,0.0,1.0,1.0
4.0,7,6.1,48.0,5.7,1.0,1.0,5.0,16,0.0,0.0,0.0,0.0
2.0,4,5.4,44.0,6.9,5.0,3.0,1.0,15,4.0,0.0,1.0,0.0
1.0,3,6.4,56.0,5.9,2.0,1.0,4.0,5,0.0,0.0,0.0,1.0
1.0,2,4.3,35.0,6.0,4.0,3.0,1.0,13,4.0,1.0,0.0,1.0
3.0,5,7.5,58.0,6.0,2.0,2.0,4.0,19,1.0,1.0,1.0,1.0
1.0,3,6.2,48.0,5.0,2.0,3.0,4.0,9,0.0,0.0,1.0,1.0
2.0,5,7.2,58.0,5.3,2.0,1.0,4.0,13,1.0,1.0,0.0,0.0
2.0,4,4.9,44.0,6.8,4.0,4.0,3.0,9,3.0,0.0,0.0,1.0
3.0,7,7.4,54.0,6.0,2.0,2.0,5.0,13,1.0,0.0,1.0,0.0
2.0,5,7.1,59.0,5.4,1.0,2.0,5.0,13,0.0,1.0,0.0,1.0
1.0,3,5.8,57.0,4.7,2.0,2.0,5.0,12,1.0,1.0,1.0,1.0
2.0,4,7.0,52.0,5.6,2.0,2.0,5.0,4,1.0,1.0,0.0,1.0
2.0,5,7.3,50.0,5.7,2.0,1.0,5.0,3,1.0,1.0,0.0,1.0
1.0,4,4.5,35.0,7.7,3.0,5.0,3.0,8,3.0,0.0,0.0,1.0
4.0,7,10.0,55.0,6.1,2.0,2.0,4.0,6,1.0,0.0,0.0,0.0
1.0,3,5.4,48.0,4.4,1.0,3.0,4.0,9,0.0,0.0,1.0,1.0
4.0,9,8.688782558229601,49.0,5.0,1.0,3.0,4.0,6,0.0,0.0,1.0,0.0
2.0,4,6.8,59.0,4.5,1.0,1.0,4.0,5,1.0,1.0,1.0,1.0
0.0,2,3.7,38.0,6.6,5.0,4.0,3.0,8,3.0,0.0,0.0,1.0
3.0,4,6.0,51.0,5.6,2.0,3.0,4.0,15,0.0,0.0,1.0,0.0
2.0,3,3.1,43.0,6.6,5.0,5.0,3.0,7,2.0,1.0,1.0,1.0
3.0,5,7.0,48.0,5.7,2.0,2.0,5.0,12,1.0,0.0,0.0,0.0
1.0,2,5.1,36.0,6.9,5.0,5.0,2.0,19,5.0,0.0,0.0,1.0
1.0,3,4.081359336391024,37.0,6.8,3.0,5.0,2.0,5,5.0,1.0,1.0,0.0
1.0,3,3.9,38.0,6.5,4.0,3.0,3.0,19,5.0,0.0,1.0,1.0
4.0,8,8.142466910220653,50.0,5.1,1.0,1.0,4.0,8,1.0,1.0,1.0,1.0
1.0,3,6.4,54.0,5.4,2.0,3.0,4.0,19,1.0,1.0,1.0,0.0
4.0,8,9.5,53.0,5.1,2.0,2.0,4.0,7,0.0,0.0,1.0,0.0
3.0,7,7.4,54.0,5.8,2.0,2.0,4.0,11,0.0,0.0,1.0,0.0
2.0,2,3.6,37.0,6.4,5.0,3.0,1.0,14,5.0,0.0,0.0,1.0
0.0,1,2.8,39.0,6.3,5.0,4.0,1.0,11,2.0,1.0,1.0,1.0
2.0,3,5.1,39.0,7.1,4.0,4.0,2.0,14,3.0,1.0,0.0,0.0
2.0,5,6.7,54.0,5.3,2.0,1.0,4.0,14,0.0,1.0,1.0,1.0
3.0,5,5.8,57.0,5.5,2.0,3.0,4.0,11,0.0,0.0,1.0,1.0
3.0,5,5.9,50.0,5.5,2.0,2.0,5.0,18,1.0,0.0,1.0,1.0
2.0,6,9.0,54.0,5.3,2.0,3.0,4.0,10,1.0,0.0,1.0,1.0
2.0,4,6.4,58.0,5.4,1.0,2.0,4.0,7,0.0,0.0,1.0,1.0
0.0,1,3.4,43.0,6.8,5.0,3.0,3.0,7,3.0,1.0,1.0,1.0
3.0,4,4.44314346182144,39.0,7.5,3.0,4.0,1.0,13,3.0,0.0,1.0,1.0
4.0,6,5.9,53.0,5.2,1.0,1.0,4.0,18,0.0,1.0,1.0,1.0
2.0,3,3.4,44.0,6.6,5.0,3.0,2.0,4,2.0,0.0,0.0,0.0
3.0,4,6.4,54.0,5.7,2.0,3.0,5.0,7,0.0,1.0,0.0,1.0
2.0,3,5.4,36.0,6.9,3.0,4.0,3.0,15,5.0,0.0,0.0,0.0
3.0,6,6.4,52.0,5.8,1.0,2.0,4.0,6,0.0,1.0,1.0,1.0
2.0,4,4.7,40.0,7.0,3.0,4.0,1.0,11,3.0,0.0,1.0,1.0
3.0,5,7.1,58.0,5.4,1.0,2.0,4.0,3,1.0,0.0,0.0,0.0
2.0,6,7.3,59.0,5.2,2.0,2.0,5.0,3,1.0,1.0,1.0,0.0
3.0,5,6.716108841532389,58.0,5.6,1.0,2.0,5.0,19,1.0,1.0,0.0,1.0
3.0,6,7.8,55.0,5.7,2.0,1.0,4.0,16,1.0,1.0,1.0,1.0
2.0,5,7.2,56.0,5.7,2.0,1.0,4.0,6,0.0,0.0,0.0,0.0
2.0,3,5.6,48.0,4.9,2.0,1.0,4.0,10,1.0,0.0,1.0,1.0
2.0,4,4.274528223746925,44.0,7.6,5.0,5.0,1.0,18,5.0,0.0,1.0,1.0
1.0,3,4.042212929720626,36.0,6.8,4.0,4.0,1.0,12,2.0,0.0,1.0,1.0
2.0,3,4.4,43.0,7.5,3.0,4.0,3.0,16,5.0,0.0,0.0,0.0
4.0,7,7.5,53.0,6.4,1.0,2.0,5.0,6,0.0,0.0,1.0,0.0
1.0,3,5.4,50.0,5.2,2.0,2.0,5.0,4,0.0,1.0,0.0,0.0
3.0,5,6.3,52.0,5.4,1.0,2.0,5.0,17,1.0,0.0,1.0,0.0
5.0,10,9.045274918976602,51.0,5.0,2.0,3.0,4.0,14,1.0,0.0,1.0,0.0
3.0,6,7.5,56.0,5.4,1.0,1.0,5.0,17,0.0,0.0,1.0,0.0
3.0,6,8.2,59.0,5.4,1.0,2.0,4.0,16,0.0,1.0,1.0,0.0
1.0,1,3.8,43.0,7.9,3.0,5.0,2.0,10,2.0,0.0,0.0,1.0
1.0,2,3.7,41.0,7.7,3.0,4.0,2.0,13,5.0,0.0,1.0,1.0
4.0,7,6.0,56.0,5.8,2.0,2.0,4.0,14,0.0,1.0,0.0,0.0
0.0,1,1.2,42.0,7.1,4.0,4.0,1.0,11,3.0,0.0,1.0,1.0
4.0,7,5.9,56.0,6.0,1.0,3.0,5.0,5,0.0,1.0,1.0,0.0
4.0,8,8.2,52.0,6.0,2.0,2.0,4.0,15,0.0,0.0,0.0,0.0
3.0,7,8.8,54.0,5.0,2.0,3.0,4.0,15,1.0,0.0,1.0,0.0
4.0,9,9.2,51.0,5.5,1.0,3.0,5.0,13,0.0,1.0,1.0,0.0
1.0,3,5.9,38.0,7.2,4.0,5.0,1.0,12,3.0,1.0,1.0,0.0
2.0,4,7.0,51.0,6.3,2.0,1.0,4.0,5,0.0,0.0,1.0,0.0
4.0,8,10.0,58.0,4.9,1.0,3.0,4.0,4,0.0,1.0,1.0,0.0
3.0,5,5.2,58.0,5.0,2.0,2.0,5.0,8,0.0,1.0,1.0,0.0
2.0,5,7.0,53.0,5.2,2.0,1.0,4.0,19,1.0,0.0,1.0,0.0
3.0,5,6.501054124290404,57.0,5.9,2.0,3.0,5.0,6,1.0,1.0,0.0,0.0
0.0,1,2.7,41.0,7.1,5.0,3.0,3.0,4,5.0,0.0,0.0,1.0
2.0,5,6.2,56.0,5.6,1.0,2.0,4.0,14,0.0,1.0,1.0,1.0
2.0,4,5.7,56.0,5.1,2.0,2.0,4.0,16,1.0,1.0,1.0,0.0
1.0,3,5.6,37.0,6.2,3.0,3.0,3.0,15,5.0,1.0,1.0,1.0
2.0,4,5.8,55.0,5.7,1.0,2.0,4.0,19,1.0,0.0,0.0,1.0
0.0,1,2.2,40.0,6.9,5.0,4.0,1.0,15,2.0,0.0,0.0,1.0
5.0,9,8.7,51.0,4.7,2.0,2.0,4.0,18,1.0,0.0,0.0,0.0
1.0,2,4.4,35.0,6.3,4.0,5.0,3.0,18,3.0,0.0,1.0,1.0
3.0,4,4.237040578598901,43.0,7.7,5.0,4.0,1.0,6,4.0,0.0,1.0,1.0
1.0,4,5.7,36.0,7.1,4.0,3.0,1.0,19,5.0,0.0,0.0,1.0
2.0,3,4.8,37.0,5.1,3.0,3.0,1.0,16,4.0,1.0,1.0,1.0
1.0,4,5.9,56.0,4.3,1.0,2.0,4.0,16,0.0,0.0,1.0,1.0
1.0,2,4.0,43.0,6.5,3.0,3.0,2.0,8,2.0,0.0,1.0,0.0
3.0,6,6.7,58.0,6.2,1.0,1.0,4.0,15,0.0,0.0,1.0,0.0
2.0,3,3.9,42.0,6.8,5.0,3.0,1.0,17,3.0,1.0,0.0,1.0
1.0,3,5.4,43.0,7.7,5.0,5.0,3.0,17,4.0,0.0,1.0,1.0
3.0,5,5.2,35.0,6.7,3.0,3.0,1.0,11,2.0,0.0,1.0,0.0
2.0,6,6.9,53.0,6.1,2.0,2.0,5.0,4,1.0,0.0,1.0,1.0
3.0,6,6.5,48.0,5.6,1.0,3.0,5.0,4,1.0,1.0,0.0,0.0
3.0,5,6.0,50.0,6.2,2.0,1.0,5.0,8,1.0,0.0,1.0,1.0
4.0,8,9.0,57.0,4.2,1.0,2.0,5.0,13,1.0,0.0,0.0,1.0
2.0,3,3.8,37.0,7.9,5.0,5.0,1.0,13,4.0,1.0,1.0,0.0
1.0,3,4.121071872777067,42.0,6.7,4.0,3.0,1.0,11,4.0,0.0,1.0,1.0
4.0,7,7.5,53.0,5.9,1.0,3.0,4.0,12,0.0,0.0,1.0,0.0
4.0,7,8.9,53.0,5.1,1.0,3.0,5.0,3,1.0,0.0,0.0,1.0
0.0,1,2.3,40.0,6.7,3.0,5.0,1.0,4,5.0,0.0,1.0,1.0
2.0,4,4.5,35.0,6.6,5.0,4.0,2.0,19,3.0,1.0,1.0,0.0
3.0,7,7.7,59.0,4.1,2.0,3.0,4.0,12,1.0,0.0,1.0,0.0
1.0,1,1.9,41.0,6.6,3.0,4.0,1.0,13,3.0,0.0,1.0,0.0
4.0,9,9.8,54.0,5.9,2.0,1.0,5.0,15,0.0,1.0,0.0,1.0
2.0,3,4.9,48.0,4.7,1.0,3.0,4.0,17,1.0,0.0,1.0,0.0
3.0,8,8.6,52.0,5.4,2.0,3.0,4.0,8,0.0,1.0,0.0,1.0
1.0,3,5.528376946103691,59.0,5.3,2.0,3.0,4.0,6,1.0,0.0,1.0,0.0
4.0,9,8.5,54.0,6.3,1.0,3.0,4.0,18,0.0,1.0,0.0,1.0
4.0,7,8.4,57.0,6.2,2.0,2.0,4.0,5,0.0,1.0,0.0,0.0
2.0,5,6.9,54.0,5.9,2.0,2.0,4.0,16,0.0,1.0,1.0,0.0
1.0,3,6.6,48.0,5.5,1.0,1.0,4.0,10,0.0,0.0,0.0,0.0
0.0,2,4.4,35.0,7.3,4.0,5.0,2.0,7,3.0,1.0,0.0,1.0
2.0,3,3.5,41.0,6.8,3.0,4.0,2.0,12,3.0,0.0,1.0,0.0
1.0,3,5.7,49.0,5.5,1.0,1.0,4.0,19,0.0,0.0,1.0,1.0
5.0,9,8.1,48.0,5.9,1.0,3.0,4.0,5,0.0,0.0,0.0,0.0
4.0,6,6.2,59.0,4.8,2.0,3.0,4.0,14,1.0,0.0,0.0,0.0
2.0,4,4.388528185668578,41.0,6.6,5.0,5.0,1.0,16,4.0,0.0,1.0,1.0
2.0,5,7.1,57.0,5.5,1.0,1.0,5.0,18,0.0,1.0,0.0,0.0
4.0,8,6.6,52.0,5.2,1.0,2.0,4.0,17,1.0,1.0,1.0,0.0
1.0,2,3.7,42.0,7.2,3.0,5.0,2.0,17,5.0,0.0,1.0,1.0
3.0,6,6.4,51.0,6.4,1.0,2.0,5.0,8,0.0,0.0,0.0,1.0
1.0,3,3.1,44.0,6.3,4.0,5.0,3.0,16,4.0,1.0,0.0,0.0
1.0,2,2.7,37.0,7.2,5.0,3.0,3.0,9,3.0,1.0,1.0,1.0
1.0,1,4.4,35.0,7.0,4.0,5.0,3.0,15,5.0,0.0,1.0,1.0
2.0,4,7.1,51.0,5.2,2.0,3.0,5.0,6,0.0,1.0,1.0,0.0
1.0,2,6.2,51.0,4.8,2.0,2.0,5.0,10,1.0,0.0,1.0,1.0
1.0,2,3.6,38.0,7.1,3.0,5.0,3.0,11,4.0,1.0,1.0,1.0
2.0,4,4.7,57.0,6.7,2.0,3.0,4.0,19,0.0,1.0,1.0,1.0
2.0,3,3.9,37.0,7.1,5.0,4.0,3.0,10,3.0,0.0,1.0,1.0
4.0,8,9.5,55.0,5.8,1.0,2.0,5.0,7,0.0,1.0,1.0,0.0
3.0,6,6.9,54.0,6.4,1.0,3.0,5.0,11,1.0,0.0,0.0,1.0
1.0,4,5.4,55.0,5.3,1.0,2.0,4.0,10,1.0,0.0,1.0,1.0
4.0,7,8.2,54.0,6.3,1.0,1.0,4.0,19,0.0,0.0,0.0,0.0
3.0,5,6.7,49.0,5.4,1.0,3.0,5.0,7,1.0,0.0,0.0,1.0
2.0,5,9.7,50.0,5.8,1.0,1.0,4.0,15,0.0,1.0,0.0,1.0
1.0,4,5.1,36.0,7.4,4.0,5.0,3.0,11,5.0,0.0,1.0,0.0
1.0,3,3.0,35.0,6.2,4.0,3.0,2.0,14,5.0,1.0,1.0,0.0
1.0,3,7.5,49.0,5.1,2.0,2.0,4.0,12,1.0,1.0,0.0,0.0
